Name,ID,Zip,County,Address,Latitude,Longitude
#8 4000psi AIR ASH SHOTCRETE,ec33mydh,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1332174,ec3gxxrp,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1546928,ec3djt8e,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1377889,ec3tz3k0,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1588099,ec3jdydn,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1530902,ec3f9y39,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1571046,ec3sh0bb,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1571048,ec338qgm,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1588400,ec3zgjpc,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1588396,ec3jhqxq,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1588398,ec352ugf,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1603152,ec39145e,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1619885,ec30nfyr,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
"4000 ASH 40% 1/2"" FLOW",ec3zt4fu,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
4000psi 0.50 W/C 22% Fly Ash Flowable,ec3zxtz3,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
3000 psi fly ash flowable LRC,ec3pkk1w,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
P302E801,ec3n3540,,Maricopa County,"F7MG+CJ Mesa, AZ, USA",33.4835625,-111.7234375
5000 psi FLY ASH AIR FLOWABLE,ec3ee9mk,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
MAG A 3000 STANDARD,ec35dkn3,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
5000psi 0.45 W/C 20% Fly Ash Flowable,ec3fm80u,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
AUSTIN 3000 PSI CUSTOM FLOOR MIX,ec3mhxfy,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
"CCS 3,000 PSI CUSTOM FLOOR MIX",ec3hxft7,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
MAG AA 4000 STANDARD,ec31cxga,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
MAG AA 4000 ASH FLOWABLE,ec387u5s,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
#8 4000 ASH FLOW GRTPUMPCONC,ec3j3dt5,85147,Pinal County,"2126 Tanner Rd, Sacaton, AZ 85147, USA",33.1512505,-111.8379013
#8 3000psi ASH EXP STD,ec3cc5mg,85147,Pinal County,"2126 Tanner Rd, Sacaton, AZ 85147, USA",33.1512505,-111.8379013
1502528,ec3wzj2s,85147,Pinal County,"2126 Tanner Rd, Sacaton, AZ 85147, USA",33.1512505,-111.8379013
1332544,ec3f4caz,85147,Pinal County,"2126 Tanner Rd, Sacaton, AZ 85147, USA",33.1512505,-111.8379013
1509914,ec3x3pbe,85147,Pinal County,"2126 Tanner Rd, Sacaton, AZ 85147, USA",33.1512505,-111.8379013
1530902,ec3w5xy6,85147,Pinal County,"2126 Tanner Rd, Sacaton, AZ 85147, USA",33.1512505,-111.8379013
1555049,ec3rxyg8,85147,Pinal County,"2126 Tanner Rd, Sacaton, AZ 85147, USA",33.1512505,-111.8379013
