Name,ID,Zip,County,Address,Latitude,Longitude
345PP516,ec3bfh8a,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
345PP526,ec358wtn,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
345CX522,ec3hdgcq,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
350PP601,ec3ejnm4,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
350PS520,ec3cjes6,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
345PP501,ec3jezz5,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
"Insulated Metal Roof Deck Panels - RD1 5"", 22 / 26 ga Polyvinyl Chloride Roof membrane",cqdee282,,,,,
345PP501,ec36784j,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
345PP521,ec380qj0,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
350PP601,ec305e3u,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
"Insulated Metal Wall Panels - DM36 6'', 22 ga",cqdz15bs,,,,,
335PP521,ec3zxx6z,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
335RP501,ec30jnre,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
Rebar,ec3h3ut5,,,,,
"Insulated Metal Wall Panels - CW36 6'', 22 ga",cqdk5f34,,,,,
PVC-coated conduit Heavy products COND3/4SA-G,ec36u14z,72401,Craighead County,"W Highland Dr, Jonesboro, AR 72401, USA",35.8207297,-90.7135551
"Insulated Metal Roof Panels - CW36 6'', 22 ga",cqd2j562,,,,,
"Insulated Metal Wall Panels - DM40 2'', 26 ga",cqd45hfe,,,,,
"Insulated Metal Wall Panels - ST40 6'', 22 ga",cqdkk68q,,,,,
"OneDek Roof Deck Panels - RD1 2"" , 26 ga",cqd6b2n6,,,,,
"Insulated Metal Roof Panels - CW36 2'', 26 ga",cqd6hnm0,,,,,
"Insulated Metal Wall Panels - DM36 2'', 26 ga",cqdwnqbj,,,,,
"Insulated Metal Wall Panels - DM40 6'', 22 ga",cqdc0ff6,,,,,
